Name_0,Name_1,PSRJ_0,PSRJ_1,ZZ,XX,YY,DISC_DATE,
B0037+56,dtws85,J0040+5716,dtws85,-0.23,2.05,9.76,1985,
J0045-7042,mfl+06,J0045-7042,mfl+06,-43.25,-34.26,-14.31,2006,
J0045-7319,mmh+91,J0045-7319,mmh+91,-41.32,-35.92,-15.29,1991,
B0045+33,dtws85,J0048+3412,dtws85,-2.16,3.34,10.61,1985,
J0050+03,dsm+16,J0050+03,dsm+16,-21.45,10.84,15.40,2016,
J0051+0423,snt97,J0051+0423,snt97,-1.07,0.55,8.86,1997,
J0053+69,slr+14,J0053+69,slr+14,0.32,2.29,9.99,2014,
J0054+66,hrk+08,J0054+66,hrk+08,0.05,0.75,8.99,2008,
J0054+69,kkl+15,J0054+69,kkl+15,0.27,1.95,9.78,2015,
B0052+51,dtws85,J0055+5117,dtws85,-0.39,1.58,9.55,1985,
B0053+47,dtws85,J0056+4756,dtws85,-0.29,0.90,9.10,1985,
J0057-7201,ckm+01,J0057-7201,ckm+01,-2.46,-2.08,7.19,2001,
J0058+6125,hrk+08,J0058+6125,hrk+08,-0.07,2.17,9.95,2008,
J0059+50,slr+14,J0059+50,slr+14,-0.58,2.11,9.93,2014,
J0100-7211,lfmp02,J0100-7211,lfmp02,-42.15,-35.88,-13.86,2002,
J0101-6422,kcj+12,J0101-6422,kcj+12,-0.80,-0.52,8.19,2012,
J0102+4839,hrm+11,J0102+4839,hrm+11,-0.61,1.89,9.82,2011,
B0059+65,dbtb82,J0102+6537,dbtb82,0.10,1.64,9.61,1982,
J0103+54,kkl+15,J0103+54,kkl+15,-0.31,1.63,9.63,2015,
J0106+4855,pga+12,J0106+4855,pga+12,-0.73,2.42,10.22,2012,
J0108-1431,tnj+94,J0108-1431,tnj+94,-0.20,0.03,8.54,1994,
B0105+65,dls72,J0108+6608,dls72,0.08,1.20,9.33,1972,
B0105+68,dtws85,J0108+6905,dtws85,0.22,1.62,9.61,1985,
J0111-7131,mfl+06,J0111-7131,mfl+06,-42.59,-35.98,-12.84,2006,
J0112+66,slr+14,J0112+66,slr+14,0.15,1.98,9.89,2014,
J0113-7220,ckm+01,J0113-7220,ckm+01,-41.98,-36.53,-13.12,2001,
B0114+58,stwd85,J0117+5914,stwd85,-0.11,1.42,9.55,1985,
J0125+62,slr+14,J0125+62,slr+14,-0.00,1.92,9.94,2014,
J0131-7310,mfl+06,J0131-7310,mfl+06,-41.21,-37.80,-12.41,2006,
J0133-6957,lml+98,J0133-6957,lml+98,-1.78,-1.48,7.72,1998,
J0134-2937,mld+96,J0134-2937,mld+96,-24.64,-3.26,11.21,1996,
J0136+63,slr+14,J0136+63,slr+14,0.20,7.20,14.09,2014,
J0137+1654,lxf+05,J0137+1654,lxf+05,-2.15,1.45,10.13,2005,
J0139+33,ttm+18,J0139+33,ttm+18,-0.70,0.92,9.40,2018,
J0139+5621,cvh+14,J0139+5621,cvh+14,-0.25,1.85,10.03,2014,
B0136+57,dth78,J0139+5814,dth78,-0.18,2.01,10.14,1978,
B0138+59,mth72,J0141+6009,mth72,-0.08,1.78,9.95,1972,
J0141+63,slr+14,J0141+63,slr+14,0.12,6.86,13.96,2014,
J0146+31,ttol16,J0146+31,ttol16,-0.92,1.09,9.65,2016,
J0146+6145,ims94,J0146+6145,ims94,-0.03,2.78,10.78,1994,
B0144+59,stwd85,J0147+5922,stwd85,-0.08,1.21,9.52,1985,
B0148-06,mlt+78,J0151-0635,mlt+78,-22.66,3.55,18.45,1978,
J0152+0948,clm+05,J0152+0948,clm+05,-1.91,0.87,9.83,2005,
B0149-16,mlt+78,J0152-1637,mlt+78,-0.88,0.00,8.78,1978,
J0156+04,dsm+16,J0156+04,dsm+16,-20.52,6.71,21.11,2016,
B0153+39,dtws85,J0156+3949,dtws85,-1.79,3.16,11.81,1985,
B0154+61,dls72,J0157+6212,dls72,0.01,1.06,9.40,1972,
J0158+21,dsm+13,J0158+21,dsm+13,-0.99,0.73,9.48,2013,
J0201+7005,kkl+15,J0201+7005,kkl+15,0.16,0.90,9.23,2015,
J0205+6449,mss+02,J0205+6449,mss+02,0.17,2.42,10.58,2002,
B0203-40,mlt+78,J0206-4028,mlt+78,-1.18,-0.43,8.59,1978,
J0211-8159,lml+98,J0211-8159,lml+98,-0.86,-1.09,7.88,1998,
J0212+5222,bck+13,J0212+5222,bck+13,-0.23,1.08,9.60,2013,
J0214+5222,slr+14,J0214+5222,slr+14,-0.17,0.80,9.32,2014,
J0215+6218,llc98,J0215+6218,llc98,0.04,1.47,9.85,1998,
J0218+4232,nbf+95,J0218+4232,nbf+95,-0.95,1.95,10.78,1995,
J0220+36,ttol16,J0220+36,ttol16,-0.88,1.26,10.14,2016,
J0229+20,dsm+13,J0229+20,dsm+13,-1.24,0.80,9.98,2013,
B0226+70,dtws85,J0231+7026,dtws85,0.28,1.31,9.64,1985,
J0241+16,dsm+13,J0241+16,dsm+13,-0.59,0.27,9.18,2013,
J0242+62,hrk+08,J0242+62,hrk+08,0.01,0.15,8.66,2008,
J0243+6027,hrk+08,J0243+6027,hrk+08,0.02,1.88,10.47,2008,
J0244+14,dsm+13,J0244+14,dsm+13,-1.81,0.74,10.51,2013,
J0248+6021,tpc+11,J0248+6021,tpc+11,0.02,1.37,9.96,2011,
J0251+26,cck+16,J0251+26,cck+16,-0.57,0.44,9.40,2016,
B0254-53,lvw69b,J0255-5304,lvw69b,-1.24,-0.86,8.50,1969,
J0303+22,ttol16,J0303+22,ttol16,-0.55,0.34,9.36,2016,
B0301+19,fss73,J0304+1932,fss73,-0.41,0.20,9.09,1973,
J0308+74,hrm+11,J0308+74,hrm+11,0.09,0.27,8.75,2011,
J0319+13,ttm+18,J0319+13,ttm+18,-0.17,0.05,8.74,2018,
B0320+39,dth78,J0323+3944,dth78,-0.30,0.54,9.53,1978,
J0324+5239,bck+13,J0324+5239,bck+13,-0.14,1.31,10.37,2013,
J0325+67,slr+14,J0325+67,slr+14,0.31,1.31,9.89,2014,
J0329+1654,lxf+05,J0329+1654,lxf+05,-1.34,0.43,10.63,2005,
B0329+54,cp68,J0332+5434,cp68,-0.02,0.57,9.32,1968,
J0332+79,kkl+15,J0332+79,kkl+15,0.34,0.76,9.14,2015,
B0331+45,dtws85,J0335+4555,dtws85,-0.22,0.75,9.83,1985,
J0337+1715,rsa+14,J0337+1715,rsa+14,-0.65,0.20,9.61,2014,
J0338+66,slr+14,J0338+66,slr+14,0.30,1.26,9.93,2014,
J0340+4130,hrm+11,J0340+4130,hrm+11,-0.31,0.69,9.91,2011,
J0341+5711,hrk+08,J0341+5711,hrk+08,0.05,1.18,10.15,2008,
J0343-3000,bjd+06,J0343-3000,bjd+06,-1.26,-0.72,9.15,2006,
B0339+53,dth78,J0343+5312,dth78,-0.04,0.93,9.93,1978,
J0348+0432,lbr+13,J0348+0432,lbr+13,-1.26,-0.10,10.18,2013,
J0357+3205,aaa+09c,J0357+3205,aaa+09c,-0.23,0.24,9.27,2009,
B0353+52,dtws85,J0357+5236,dtws85,-0.02,1.04,10.24,1985,
J0358+42,slr+14,J0358+42,slr+14,-0.22,0.60,9.84,2014,
B0355+54,mth72,J0358+5413,mth72,0.01,0.53,9.35,1972,
J0358+66,slr+14,J0358+66,slr+14,0.33,1.20,9.92,2014,
J0359+5414,cwp+17,J0359+5414,cwp+17,0.00,0.00,8.50,2017,
B0403-76,mlt+78,J0401-7608,mlt+78,-0.59,-0.77,8.22,1978,
B0402+61,dth78,J0406+6138,dth78,0.22,1.04,9.94,1978,
J0407+1607,lxf+05,J0407+1607,lxf+05,-0.58,0.07,9.71,2005,
J0408+551,hrk+08,J0408+551,hrk+08,0.06,0.82,9.84,2008,
J0408+552,hrk+08,J0408+552,hrk+08,0.07,0.86,9.92,2008,
J0410-31,bbj+11,J0410-31,bbj+11,-0.30,-0.22,8.68,2011,
J0413+58,hrk+08,J0413+58,hrk+08,0.14,0.88,9.86,2008,
B0410+69,dtws85,J0415+6954,dtws85,0.32,0.87,9.50,1985,
J0417+35,cnst96,J0417+35,cnst96,-0.27,0.42,9.89,1996,
J0417+61,slr+14,J0417+61,slr+14,0.24,1.04,10.01,2014,
J0418-4154,bcm+15,J0418-4154,bcm+15,-1.84,-1.64,9.22,2015,
J0418+5732,vck+10,J0418+5732,vck+10,0.00,0.00,8.50,2010,
J0419+44,hrk+08,J0419+44,hrk+08,-0.13,0.64,10.06,2008,
J0420-5022,hmz+04,J0420-5022,hmz+04,-0.00,-0.00,8.50,2004,
J0421-0345,mld+96,J0421-0345,mld+96,-1.25,-0.54,10.22,1996,
J0421+32,ttol16,J0421+32,ttol16,-0.40,0.45,10.31,2016,
J0426+4933,hrk+08,J0426+4933,hrk+08,0.01,0.78,10.12,2008,
J0435+2749,rtj+96,J0435+2749,rtj+96,-0.34,0.21,9.97,1996,
J0437-4715,jlh+93,J0437-4715,jlh+93,-0.10,-0.11,8.53,1993,
J0447-04,kkl+15,J0447-04,kkl+15,-0.33,-0.22,9.04,2015,
J0448-2749,lml+98,J0448-2749,lml+98,-1.11,-1.07,9.45,1998,
J0449-7031,mfl+06,J0449-7031,mfl+06,-28.87,-39.53,-0.11,2006,
B0447-12,mlt+78,J0450-1248,mlt+78,-0.95,-0.77,9.78,1978,
J0451-67,mfl+06,J0451-67,mfl+06,-29.42,-39.63,2.64,2006,
B0450-18,vlw69,J0452-1759,vlw69,-0.22,-0.20,8.76,1969,
J0453+1559,dsm+13,J0453+1559,dsm+13,-0.15,-0.04,9.00,2013,
B0450+55,dth78,J0454+5543,dth78,0.15,0.54,9.54,1978,
B0456-69,mmh+91,J0455-6951,mmh+91,-28.64,-39.83,0.55,1991,
J0456-69,rcl+13,J0456-69,rcl+13,-28.74,-39.87,1.14,2013,
J0456-7031,mfl+06,J0456-7031,mfl+06,-28.48,-39.83,-0.00,2006,
J0457+23,dsm+13,J0457+23,dsm+13,-0.32,0.04,9.99,2013,
J0457-6337,mfl+06,J0457-6337,mfl+06,-0.79,-1.06,8.43,2006,
J0457-69,rcl+13,J0457-69,rcl+13,-28.59,-39.89,0.64,2013,
J0458-0505,lbr+13,J0458-0505,lbr+13,-0.89,-0.70,10.07,2013,
J0458-67,rcl+13,J0458-67,rcl+13,-28.87,-39.99,2.40,2013,
J0459-0210,mld+96,J0459-0210,mld+96,-0.07,-0.05,8.63,1996,
J0501+4516,gwk08,J0501+4516,gwk08,0.07,0.70,10.59,2008,
B0458+46,dth78,J0502+4654,dth78,0.07,0.44,9.74,1978,
B0502-66,mmh+91,J0502-6617,mmh+91,-28.86,-40.17,3.66,1991,
J0509+08,dsm+13,J0509+08,dsm+13,-0.25,-0.16,9.24,2013,
J0510+38,slr+14,J0510+38,slr+14,-0.03,0.32,10.03,2014,
J0511-6508,mfl+06,J0511-6508,mfl+06,-0.47,-0.67,8.44,2006,
J0514-4002A,fgri04,J0514-4002A,fgri04,-7.58,-9.76,13.15,2004,
J0514-4407,bcm+15,J0514-4407,bcm+15,-0.57,-0.76,8.78,2015,
J0517+2212,cha03,J0517+2212,cha03,-0.03,-0.01,8.66,2003,
J0519+44,hrk+08,J0519+44,hrk+08,0.09,0.38,9.87,2008,
J0519+54,slr+14,J0519+54,slr+14,0.25,0.58,9.80,2014,
J0519-6932,mfl+06,J0519-6932,mfl+06,-27.25,-40.89,1.08,2006,
J0520-2553,lml+98,J0520-2553,lml+98,-1.21,-1.53,9.86,1998,
J0521-68,rcl+13,J0521-68,rcl+13,-27.26,-41.03,1.91,2013,
J0522-6847,mfl+06,J0522-6847,mfl+06,-27.19,-41.05,1.74,2006,
B0523+11,mlt+78,J0525+1115,mlt+78,-0.42,-0.39,10.25,1978,
J0525-6607,mgi+79,J0525-6607,mgi+79,-0.00,-0.00,8.50,1979,
B0525+21,sr68,J0528+2200,sr68,-0.15,-0.08,9.71,1968,
B0529-66,mhah83,J0529-6652,mhah83,-26.90,-41.48,3.43,1983,
J0532-6639,mfl+06,J0532-6639,mfl+06,-26.69,-41.64,3.63,2006,
J0532-69,rcl+13,J0532-69,rcl+13,-26.46,-41.39,0.95,2013,
J0533+0402,snt97,J0533+0402,snt97,-0.57,-0.72,10.47,1997,
J0533+67,rap+12,J0533+67,rap+12,0.69,1.23,10.29,2012,
B0531+21,sr68,J0534+2200,sr68,-0.20,-0.16,10.48,1968,
J0534-6703,mfl+06,J0534-6703,mfl+06,-26.54,-41.69,3.29,2006,
J0535-66,rcl+13,J0535-66,rcl+13,-26.48,-41.75,3.46,2013,
J0535-6935,ckm+01,J0535-6935,ckm+01,-26.29,-41.53,1.12,2001,
B0538-75,mlt+78,J0536-7543,mlt+78,-0.07,-0.11,8.46,1978,
J0537-69,rcl+13,J0537-69,rcl+13,-26.14,-41.66,1.33,2013,
J0537-6910,mgz+98,J0537-6910,mgz+98,-26.15,-41.68,1.48,1998,
J0538+2817,fcwa95,J0538+2817,fcwa95,-0.04,0.01,9.80,1995,
J0540+3207,cfl+06,J0540+3207,cfl+06,0.02,0.08,9.92,2006,
B0540-69,shh84,J0540-6919,shh84,-25.98,-41.76,1.35,1984,
J0540-7125,lml+98,J0540-7125,lml+98,-0.29,-0.46,8.40,1998,
J0542-68,rcl+13,J0542-68,rcl+13,-25.90,-41.96,2.27,2013,
B0540+23,dls72,J0543+2329,dls72,-0.09,-0.12,10.05,1972,
J0543-6851,mfl+06,J0543-6851,mfl+06,-25.77,-41.96,1.76,2006,
J0544+20,dsm+16,J0544+20,dsm+16,-0.10,-0.15,9.77,2016,
J0545-03,kkl+15,J0545-03,kkl+15,-0.58,-0.93,10.25,2015,
J0546+2441,clm+05,J0546+2441,clm+05,-0.05,-0.10,10.02,2005,
J0550+09,dsm+16,J0550+09,dsm+16,-0.27,-0.52,10.20,2016,
J0554+3107,pga+13,J0554+3107,pga+13,0.00,0.00,8.50,2013,
J0555+3948,bck+13,J0555+3948,bck+13,0.14,0.16,9.57,2013,
J0555-7056,mfl+06,J0555-7056,mfl+06,-24.94,-42.13,-0.04,2006,
J0557+1550,skl+15,J0557+1550,skl+15,-0.14,-0.40,10.28,2015,
J0557-2948,kmk+18,J0557-2948,kmk+18,-1.74,-3.21,10.71,2018,
B0559-57,mlt+78,J0600-5756,mlt+78,-0.27,-0.48,8.53,1978,
B0559-05,mlt+78,J0601-0527,mlt+78,-0.54,-1.21,10.42,1978,
J0605+37,rap+12,J0605+37,rap+12,0.02,0.02,8.69,2012,
J0608+00,dsm+13,J0608+00,dsm+13,-0.21,-0.59,9.63,2013,
J0609+2130,lxf+05,J0609+2130,lxf+05,0.01,-0.09,9.06,2005,
J0610-2100,bjd+06,J0610-2100,bjd+06,-1.02,-2.29,10.58,2006,
J0610+37,slr+14,J0610+37,slr+14,0.16,0.09,9.55,2014,
J0611+04,dsm+16,J0611+04,dsm+16,-0.20,-0.69,10.00,2016,
J0611+1436,lsb+17,J0611+1436,lsb+17,-0.03,-0.24,9.36,2017,
J0611+30,cnst96,J0611+30,cnst96,0.10,-0.03,9.57,1996,
B0609+37,stwd85,J0612+3721,stwd85,0.08,0.04,9.02,1985,
J0613-0200,lnl+95,J0613-0200,lnl+95,-0.13,-0.39,9.16,1995,
J0613+3731,cvh+14,J0613+3731,cvh+14,0.03,0.02,8.69,2014,
B0611+22,dls72,J0614+2229,dls72,0.07,-0.27,10.22,1972,
J0614-3329,rrc+11,J0614-3329,rrc+11,-0.23,-0.51,8.79,2011,
J0614+83,slr+14,J0614+83,slr+14,1.59,2.51,10.63,2014,
J0621+0336,bkl+13,J0621+0336,bkl+13,-0.15,-0.75,10.02,2013,
J0621+1002,cnst96,J0621+1002,cnst96,-0.01,-0.15,8.89,1996,
J0621+25,rap+12,J0621+25,rap+12,0.14,-0.21,10.12,2012,
J0621-55,kbj+18,J0621-55,kbj+18,-0.17,-0.34,8.53,2018,
J0622+3749,pga+12,J0622+3749,pga+12,0.00,0.00,8.50,2012,
J0623+0340,bkl+13,J0623+0340,bkl+13,-0.11,-0.61,9.73,2013,
B0621-04,mlt+78,J0624-0424,mlt+78,-0.27,-1.07,10.10,1978,
J0625+10,cnst96,J0625+10,cnst96,-0.03,-0.58,10.03,1996,
J0627+0649,bkl+13,J0627+0649,bkl+13,-0.07,-0.73,10.13,2013,
J0627+0706,cha03,J0627+0706,cha03,-0.08,-0.93,10.59,2003,
J0627+16,dcm+09,J0627+16,dcm+09,0.07,-0.52,10.36,2009,
J0628+0909,cfl+06,J0628+0909,cfl+06,-0.03,-0.67,10.14,2006,
B0626+24,dth78,J0629+2415,dth78,0.18,-0.25,10.14,1978,
J0630-0046,bkl+13,J0630-0046,bkl+13,-0.18,-1.08,10.29,2013,
J0630+19,dsm+16,J0630+19,dsm+16,0.07,-0.22,9.45,2016,
B0628-28,lvw69a,J0630-2834,lvw69a,-0.09,-0.26,8.67,1969,
J0631+0646,cwp+17,J0631+0646,cwp+17,-0.00,-0.00,8.50,2017,
J0631+1036,zcwl96,J0631+1036,zcwl96,0.02,-0.76,10.46,1996,
J0633+0632,aaa+09c,J0633+0632,aaa+09c,-0.02,-0.57,9.73,2009,
J0633+1746,hh92,J0633+1746,hh92,0.01,-0.05,8.68,1992,
J0633-2015,bjd+06,J0633-2015,bjd+06,-0.83,-2.72,10.84,2006,
J0635+0533,cmn+00,J0635+0533,cmn+00,-0.00,-0.00,8.50,2000,
J0636-4549,bjd+06,J0636-4549,bjd+06,-0.14,-0.34,8.59,2006,
J0636+5129,slr+14,J0636+5129,slr+14,0.07,0.06,8.69,2014,
J0641+07,ttm+18,J0641+07,ttm+18,0.03,-0.53,9.64,2018,
J0645+5158,slr+14,J0645+5158,slr+14,0.28,0.21,9.22,2014,
J0645+80,slr+14,J0645+80,slr+14,2.34,3.38,11.76,2014,
J0646+0905,bkl+13,J0646+0905,bkl+13,0.13,-1.03,10.79,2013,
J0647+0913,bkl+13,J0647+0913,bkl+13,0.15,-1.09,10.93,2013,
J0652-0142,bkl+13,J0652-0142,bkl+13,-0.02,-1.32,10.41,2013,
J0653+4706,bph+17a,J0653+4706,bph+17a,0.31,0.16,9.34,2017,
B0643+80,dbtb82,J0653+8051,dbtb82,1.06,1.53,9.93,1982,
J0656-2228,bjd+06,J0656-2228,bjd+06,-0.25,-1.29,9.45,2006,
J0656-5449,jbo+09,J0656-5449,jbo+09,-0.13,-0.34,8.53,2009,
J0658+0022,bkl+13,J0658+0022,bkl+13,0.07,-1.30,10.47,2013,
B0656+14,mlt+78,J0659+1414,mlt+78,0.04,-0.10,8.77,1978,
B0655+64,dth78,J0700+6418,dth78,0.17,0.18,8.83,1978,
J0702-4956,bcm+15,J0702-4956,bcm+15,-0.17,-0.50,8.59,2015,
J0709-5923,jbo+09,J0709-5923,jbo+09,-0.13,-0.35,8.50,2009,
J0711+0931,lzb+00,J0711+0931,lzb+00,0.18,-0.52,9.53,2000,
J0711-6830,bjb+97,J0711-6830,bjb+97,-0.04,-0.10,8.48,1997,
J0719-2545,bjd+06,J0719-2545,bjd+06,-1.00,-8.36,13.54,2006,
J0720-3125,hmb+97,J0720-3125,hmb+97,-0.06,-0.36,8.67,1997,
J0721-2038,bkl+13,J0721-2038,bkl+13,-0.14,-2.18,10.05,2013,
J0725-1635,mld+96,J0725-1635,mld+96,-0.02,-2.17,10.23,1996,
J0726-2612,bjd+06,J0726-2612,bjd+06,-0.23,-2.51,9.94,2006,
J0729-1448,mhl+02,J0729-1448,mhl+02,0.07,-2.06,10.21,2002,
B0727-18,mlt+78,J0729-1836,mlt+78,-0.01,-1.94,9.92,1978,
J0733-2345,lfl+06,J0733-2345,lfl+06,-0.15,-3.57,10.67,2006,
J0734-1559,sbd+11,J0734-1559,sbd+11,0.00,-0.00,8.50,2011,
J0736-6304,bb10,J0736-6304,bb10,-0.03,-0.09,8.49,2010,
J0737-2202,mhl+02,J0737-2202,mhl+02,-0.02,-2.59,10.14,2002,
J0737-3039A,bdp+03,J0737-3039A,bdp+03,-0.09,-1.00,8.96,2003,
J0737-3039B,lbk+04,J0737-3039B,lbk+04,-0.09,-1.00,8.96,2004,
J0737+69,slr+14,J0737+69,slr+14,0.51,0.50,9.26,2014,
B0736-40,lvw68,J0738-4042,lvw68,-0.26,-1.52,8.93,1968,
J0740+41,slr+14,J0740+41,slr+14,0.23,0.01,8.96,2014,
J0740+6620,slr+14,J0740+6620,slr+14,0.21,0.19,8.83,2014,
B0740-28,fss73,J0742-2822,fss73,-0.09,-1.79,9.38,1973,
B0743-53,mlt+78,J0745-5353,mlt+78,-0.14,-0.55,8.53,1978,
J0746-4529,bjd+06,J0746-4529,bjd+06,-0.14,-0.78,8.65,2006,
J0746+66,slr+14,J0746+66,slr+14,0.94,0.83,9.90,2014,
J0749-4247,mld+96,J0749-4247,mld+96,-0.08,-0.54,8.62,1996,
J0749-68,kbj+18,J0749-68,kbj+18,-0.04,-0.10,8.48,2018,
J0750+57,slr+14,J0750+57,slr+14,0.82,0.47,9.82,2014,
J0751+1807,lzc95,J0751+1807,lzc95,0.40,-0.40,9.46,1995,
B0751+32,dth78,J0754+3231,dth78,0.66,-0.19,9.79,1978,
B0756-15,mlt+78,J0758-1528,mlt+78,0.34,-2.19,10.06,1978,
J0804-3647,bkl+13,J0804-3647,bkl+13,-0.17,-3.21,9.46,2013,
J0806+08,dsm+13,J0806+08,dsm+13,0.64,-0.97,9.94,2013,
J0806-4123,hmz+04,J0806-4123,hmz+04,-0.00,-0.00,8.50,2004,
J0807-5421,bbb+12,J0807-5421,bbb+12,-0.18,-0.87,8.52,2012,
J0808-3937,bkl+13,J0808-3937,bkl+13,-0.17,-2.52,9.12,2013,
B0808-47,mlt+78,J0809-4753,mlt+78,-0.90,-6.38,9.25,1978,
J0812-3905,bkl+13,J0812-3905,bkl+13,-0.29,-5.65,9.90,2013,
B0809+74,cp68,J0814+7429,cp68,0.23,0.24,8.78,1968,
J0815+0939,clm+05,J0815+0939,clm+05,0.97,-1.27,10.41,2005,
J0818-3049,bkl+13,J0818-3049,bkl+13,0.02,-0.40,8.65,2013,
J0818-3232,bjd+06,J0818-3232,bjd+06,0.02,-0.45,8.65,2006,
B0818-13,vl70,J0820-1350,vl70,0.41,-1.54,9.54,1970,
J0820-3826,bkl+13,J0820-3826,bkl+13,-0.07,-3.98,9.45,2013,
J0820-3921,bjd+06,J0820-3921,bjd+06,-0.10,-3.49,9.29,2006,
B0818-41,mlt+78,J0820-4114,mlt+78,-0.03,-0.56,8.61,1978,
J0821-4221,bjd+06,J0821-4221,bjd+06,-0.32,-5.70,9.52,2006,
J0821-4300,gh09,J0821-4300,gh09,-0.13,-2.17,8.87,2009,
B0820+02,mlt+78,J0823+0159,mlt+78,0.29,-0.51,9.06,1978,
J0824+00,dsm+13,J0824+00,dsm+13,0.61,-1.11,9.67,2013,
B0823+26,cls68,J0826+2637,cls68,0.17,-0.08,8.76,1968,
B0826-34,mlt+78,J0828-3417,mlt+78,0.02,-0.34,8.60,1978,
J0831-4406,kbm+03,J0831-4406,kbm+03,-0.28,-5.82,9.29,2003,
J0834-4159,kbm+03,J0834-4159,kbm+03,-0.10,-5.44,9.37,2003,
J0834-60,ebvb01,J0834-60,ebvb01,-0.02,-0.10,8.49,2001,
J0835-3707,mlc+01,J0835-3707,mlc+01,0.02,-0.54,8.62,2001,
J0835-42,bbb+12,J0835-42,bbb+12,-0.09,-4.16,9.12,2012,
B0833-45,lvm68,J0835-4510,lvm68,-0.01,-0.28,8.53,1968,
B0834+06,phbc68,J0837+0610,phbc68,0.08,-0.11,8.63,1968,
J0837-24,bbj+11,J0837-24,bbj+11,4.25,-22.75,17.95,2011,
B0835-41,lvw68,J0837-4135,lvw68,-0.01,-1.48,8.74,1968,
J0838-2621,bjd+06,J0838-2621,bjd+06,0.64,-3.77,9.96,2006,
J0838-3947,mlc+01,J0838-3947,mlc+01,0.08,-5.02,9.42,2001,
B0839-53,mlt+78,J0840-5332,mlt+78,-0.07,-0.57,8.49,1978,
B0840-48,mlt+78,J0842-4851,mlt+78,-0.22,-3.09,8.65,1978,
J0843+0719,bjd+06,J0843+0719,bjd+06,0.98,-1.16,9.91,2006,
J0843-5022,ebvb01,J0843-5022,ebvb01,-0.13,-1.56,8.54,2001,
B0844-35,mlt+78,J0846-3533,mlt+78,0.04,-0.52,8.62,1978,
J0847-4316,mll+06,J0847-4316,mll+06,0.02,-6.51,9.25,2006,
